Topology,Nodes,Edges,Size (KB)
Airtel_reachability.nkpl,16,37,8.3
Airtel_slicing.nkpl,16,37,8.5
Airtel_unreachability.nkpl,16,37,8.3
Arpa_reachability.nkpl,29,32,20.8
Arpa_slicing.nkpl,29,32,21.7
Arpa_unreachability.nkpl,29,32,20.7
Belnet_reachability.nkpl,23,43,14.2
Belnet_slicing.nkpl,23,43,15.2
Belnet_unreachability.nkpl,23,43,14.2
Compuserv_reachability.nkpl,14,17,5.7
Compuserv_slicing.nkpl,14,17,5.8
Compuserv_unreachability.nkpl,14,17,5.7
Layer42_reachability.nkpl,6,7,1.5
Layer42_slicing.nkpl,6,7,2
Layer42_unreachability.nkpl,6,7,1.5
Sanet_reachability.nkpl,42,45,43.8
Sanet_slicing.nkpl,42,45,43.8
Sanet_unreachability.nkpl,42,45,43.8
Shentel_reachability.nkpl,28,36,19.8
Shentel_slicing.nkpl,28,36,19.8
Shentel_unreachability.nkpl,28,36,19.8
Uunet_reachability.nkpl,48,82,58.4
Uunet_unreachability.nkpl,48,82,58.4
ft2_h_reachability.nkpl,7,6,1.5
ft2_reachability.nkpl,7,6,1.5
ft4_h_reachability.nkpl,36,48,28.8
ft4_reachability.nkpl,36,48,31.8
ft4_slicing.nkpl,36,48,28.8
t2_h_reachability.nkpl,,,1.2
t2_reachability.nkpl,,,1.6
t3_h_reachability.nkpl,,,3.8
t3_reachability.nkpl,,,6
t4_h_reachability.nkpl,,,24.5
t4_near_reachability.nkpl,,,23.5
t4_reachability.nkpl,,,23.5
t4_slicing.nkpl,,,23.5
Missouri_reachability.nkpl,66,85,103.8
Missouri_slicing.nkpl,66,85,104.8
Missouri_unreachability.nkpl,66,85,103.8
Telcove_reachability.nkpl,72,70,116.1
Telcove_slicing.nkpl,72,70,116.1
Telcove_unreachability.nkpl,72,70,116.1
Uunet_slicing.nkpl,48,82,58.4
ft6_h_reachability.nkpl,99,162,244
t5_h_near_reachability.nkpl,,,93.3
t5_h_reachability.nkpl,,,93.3
t5_near_reachability.nkpl,,,90.3
t5_reachability.nkpl,,,90.3
t5_slicing.nkpl,,,93.3
t5_unreachability.nkpl,,,90.3
Deltacom_reachability.nkpl,112,183,290
Deltacom_slicing.nkpl,112,183,292
Deltacom_unreachability.nkpl,112,183,290
ft6_reachability.nkpl,99,162,222
ft6_slicing.nkpl,99,162,244
ft6_unreachability.nkpl,99,162,222
